256 455
592 473
545 373
148 575
269 315
583 211
239 608
231 606
590 231
256 559
151 437
605 151
474 140
760 199
603 273
462 158
457 361
538 380
364 348
126 609
518 584
550 240
354 560
398 460
162 630
588 299
408 297
118 475
204 468
227 312
263 335
430 209
738 317
668 366
515 452
682 122
545 269
441 548
345 419
74 680
546 602
609 424
526 326
691 472
661 260
624 378
407 523
486 252
610 521
449 160
507 368
396 333
581 550
663 377
471 148
559 149
618 425
487 265
574 155
367 246
195 678
762 132
388 506
116 612
629 592
534 372
288 427
541 410
428 287
320 500
711 254
624 295
410 457
295 570
262 602
490 173
113 611
621 313
491 437
352 393
613 139
282 298
773 169
390 246
204 550
627 332
573 251
374 487
724 153
690 555
703 359
534 432
436 404
663 509
552 597
324 445
442 519
407 397
716 547
545 184
160 640
222 602
484 174
170 521
668 492
714 577
725 135
552 249
495 402
647 316
677 473
521 354
691 537
718 198
506 350
559 526
162 523
676 363
558 480
613 282
805 141
739 69
504 217
268 494
295 281
419 231
104 680
330 584
495 358
502 127
332 469
387 165
588 592
180 596
289 391
571 281
338 564
168 414
192 501
635 444
546 277
366 438
244 324
592 417
576 219
272 317
543 467
564 603
563 278
375 211
591 591
146 439
175 666
594 372
667 361
292 438
589 425
504 570
590 352
512 429
407 220
744 333
265 613
300 424
465 324
672 91
564 154
435 143
236 322
380 477
509 353
163 401
638 272
118 665
240 475
533 371
586 84
426 443
568 451
90 646
593 392
245 588
472 584
589 206
724 253
353 332
